device_id,ISP,reported_speed_tier,access_technology,has_wifi_extenders,num_wifi_extenders,internet_cost,community
4573,Xfinity (Comcast),801 - 1200 Mbps ,combination router/modem,Yes,3 or more,Between $61 and $80,SOUTH SHORE
b217,Xfinity (Comcast),401 - 800 Mbps,combination router/modem,No,,Greater than $80,SOUTH SHORE
1799,Xfinity (Comcast),401 - 800 Mbps,combination router/modem,No,,Greater than $80,SOUTH SHORE
d54b,Xfinity (Comcast),401 - 800 Mbps,combination router/modem,No,,Greater than $80,SOUTH SHORE
c0d4,AT&T,up to 50 Mbps,router only,No,,Between $61 and $80,SOUTH SHORE
128d,AT&T,,,Yes,3 or more,Greater than $80,SOUTH SHORE
3db3,Xfinity (Comcast),401 - 800 Mbps,separate modem and router,No,,Greater than $80,SOUTH SHORE
5a91,Xfinity (Comcast),51 - 200 Mbps,combination router/modem,No,,Between $61 and $80,SOUTH SHORE
265f,Xfinity (Comcast),201 - 400 Mbps,combination router/modem,Yes,3 or more,Greater than $80,SOUTH SHORE
c71c,Xfinity (Comcast),,combination router/modem,No,,Less than $20,SOUTH SHORE
e1bb,Xfinity (Comcast),801 - 1200 Mbps ,combination router/modem,Yes,2,Greater than $80,SOUTH SHORE
6174,Xfinity (Comcast),801 - 1200 Mbps ,combination router/modem,No,,Greater than $80,SOUTH SHORE
ace4,AT&T,up to 50 Mbps,combination router/modem,Yes,1,Between $41 and $60,SOUTH SHORE
0819,AT&T,51 - 200 Mbps,combination router/modem,No,,Between $41 and $60,SOUTH SHORE
5b68,Xfinity (Comcast),up to 50 Mbps,combination router/modem,Yes,1,Less than $20,SOUTH SHORE
f507,AT&T,,,,,,SOUTH SHORE
7f45,Everywhere Wireless,up to 50 Mbps,router only,No,,Between $41 and $60,NEAR NORTH SIDE
e5b4,Xfinity (Comcast),up to 50 Mbps,combination router/modem,No,,Greater than $80,SOUTH LAWNDALE
71d4,Xfinity (Comcast),51 - 200 Mbps,combination router/modem,No,,Between $41 and $60,SOUTH CHICAGO
361c,Xfinity (Comcast),up to 50 Mbps,combination router/modem,No,,Between $61 and $80,GREATER GRAND CROSSING
f852,Google Fiber,801 - 1200 Mbps ,router only,No,,Between $41 and $60,WEST TOWN
a8df,Xfinity (Comcast),201 - 400 Mbps,separate modem and router,Yes,1,Between $41 and $60,WEST TOWN
e77e,Xfinity (Comcast),,router only,No,,Greater than $80,ASHBURN
2682,Wow!,51 - 200 Mbps,combination router/modem,Yes,1,Greater than $80,MORGAN PARK
df12,Xfinity (Comcast),201 - 400 Mbps,separate modem and router,Yes,1,Between $41 and $60,HYDE PARK
d30d,,,,,,,HYDE PARK
65d1,Xfinity (Comcast),801 - 1200 Mbps ,combination router/modem,,,Between $61 and $80,NEW CITY
60d3,Xfinity (Comcast),51 - 200 Mbps,separate modem and router,No,,Between $41 and $60,ENGLEWOOD
2881,,,,,,,ENGLEWOOD
